ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-24 17:31:50:774
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z
1.061,11111100,1,0,0,179,0,0,0,120.92,187.56,166.72,79.22,49.72,52.41,45.03,45.31,16.99,-14.52,121,36,198,117,0,0,102.5,183.92,185,99.89,4.74,5.75,127.07,214.27,185.5,100.47,3.98,8.2,595.81,444.92,0,0,2.415,127.174,-11.88,15.71,-3.73,-3.47,-2.76,2.81,0.95,1.08,0.991,0.988,-0.069,-0.111,0.112,0.111
1.083,11111100,3,0,0,3,0,0,0,118.61,187.56,165.54,79.22,49.73,52.41,45.53,45.31,20.5,-14.52,121,36,206,117,0,0,101.17,183.92,184.67,99.89,4.77,5.75,125.85,214.27,185,100.47,4.1,8.2,593.23,444.82,0,0,2.404,127.706,-13.105,14.304,-3.73,-3.47,-2.76,2.81,0.96,1.08,0.992,0.988,-0.078,-0.12,0.101,0.1
1.094,11111100,1,0,0,5,0,0,0,118.61,186.26,165.54,78.13,49.73,52.39,45.53,45.41,20.5,-17.93,121,37,206,115,0,0,101.17,183.38,184.67,99.34,4.77,6.31,125.85,213.45,185,99.93,4.1,8.34,589.86,443.57,0,0,2.421,126.756,-13.717,13.933,-3.73,-3.47,-2.76,2.81,0.96,1.08,0.992,0.987,-0.083,-0.125,0.099,0.097
1.1,11111100,0,0,0,6,0,0,0,118.61,186.09,165.54,78.05,49.73,52.17,45.53,45.3,20.5,-19.71,121,38,206,115,0,0,101.17,183.27,184.67,99.17,4.77,5.99,125.85,213.39,185,99.73,4.1,8.17,586.55,442.36,0,0,2.441,125.693,-13.648,13.955,-3.73,-3.47,-2.76,2.81,0.96,1.08,0.992,0.987,-0.083,-0.126,0.1,0.098
1.139,11111100,6,0,0,13,0,0,0,116.67,186.09,165.87,78.05,50.21,52.17,40.91,45.3,17.1,-19.71,145,38,196,115,0,0,100.5,183.27,183.5,99.17,4.74,5.99,124.78,213.39,184.14,99.73,4.43,8.17,582.59,441.92,0,0,2.411,127.064,-14.789,14.706,-3.73,-3.47,-2.76,2.81,0.95,1.08,0.99,0.986,-0.091,-0.133,0.104,0.103
1.178,10110100,6,0,0,20,0,0,0,117.15,186,164.97,0,50.1,0,44.44,0,18.82,0,133,99,207,116,0,93,100.5,189,184,119,5.42,2,125,0,184.5,0,3.87,0,580.77,447.06,0,0,2.398,127.064,-13.919,21.232,-3.73,-3.47,-2.75,2.81,0.96,1.08,0.985,0.98,-0.084,-0.126,0.153,0.151
1.183,10110100,0,0,0,21,0,0,0,117.15,186,164.97,0,50.1,0,44.44,0,18.82,0,133,97,207,115,0,94,100.5,231,184,99,5.42,2,125,0,184.5,0,3.87,0,579.28,452.19,0,0,2.398,127.064,-13.919,21.232,-3.73,-3.47,-2.75,2.81,0.96,1.08,0.985,0.98,-0.084,-0.126,0.153,0.151
1.256,11011100,12,0,0,34,0,0,0,117,186.09,0,78.05,0,52.17,0,45.3,0,-19.71,132,38,204,115,80,0,95.87,183.27,181.25,99.17,4.59,5.99,120.04,213.39,182.4,99.73,4.7,8.17,579.03,454.78,0,0,2.41,127.064,-13.382,17.028,-3.73,-3.47,-2.75,2.81,0.96,1.08,0.989,0.985,-0.08,-0.122,0.122,0.12
1.261,11011100,0,0,0,35,0,0,0,117,186.09,0,78.05,0,52.17,0,45.3,0,-19.71,139,38,204,115,83,0,95.68,183.27,181.36,99.17,5.17,5.99,120,213.39,182.5,99.73,4.72,8.17,579.3,457.62,0,0,2.41,127.064,-13.382,17.028,-3.73,-3.47,-2.75,2.81,0.96,1.08,0.989,0.985,-0.08,-0.122,0.122,0.12
1.283,11110100,3,0,0,39,0,0,0,117.15,186,164.97,0,50.1,0,44.44,0,18.82,0,133,54,207,115,0,93,100.5,177.26,184,98.72,5.42,6.24,125,207.6,184.5,99.67,3.87,9.53,579.6,460.33,0,0,2.41,127.064,-13.382,17.028,-3.73,-3.47,-2.75,2.81,0.96,1.08,0.989,0.985,-0.08,-0.122,0.122,0.12
